number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_fc_units_0,params_fc_units_1,params_fc_units_2,params_kernel_size_0,params_kernel_size_1,params_kernel_size_2,params_lr,params_num_conv_layers,params_num_fc_layers,params_num_filters_0,params_num_filters_1,params_num_filters_2,params_optimizer,params_pool_size_0,params_pool_size_1,params_pool_size_2,state
0,0.9122499823570251,2024-10-26 12:43:15.050648,2024-10-26 12:44:52.174716,0 days 00:01:37.124068,relu,64.0,0.41687245740748635,256.0,,,5.0,,,0.0003029651842380965,1,1.0,32,,,RMSprop,3.0,,,COMPLETE
1,0.8539999723434448,2024-10-26 12:43:15.160018,2024-10-26 12:47:44.931115,0 days 00:04:29.771097,relu,32.0,0.05382221435702572,256.0,64.0,,3.0,3.0,3.0,0.008419493533912758,3,2.0,32,64.0,16.0,SGD,3.0,3.0,2.0,COMPLETE
2,0.902999997138977,2024-10-26 12:43:15.160018,2024-10-26 13:00:09.553446,0 days 00:16:54.393428,relu,32.0,0.27894187920962177,128.0,128.0,,3.0,5.0,,0.023644927647640746,2,2.0,128,128.0,,SGD,2.0,2.0,,COMPLETE
3,0.8706666827201843,2024-10-26 12:43:15.470557,2024-10-26 12:45:27.378221,0 days 00:02:11.907664,sigmoid,64.0,0.06587067638903071,128.0,64.0,,3.0,3.0,3.0,0.011835858394128705,3,2.0,16,16.0,16.0,Adam,2.0,3.0,2.0,COMPLETE
4,0.5215833187103271,2024-10-26 12:44:52.256231,2024-10-26 12:48:36.888362,0 days 00:03:44.632131,tanh,64.0,0.4121346514932056,128.0,64.0,,5.0,5.0,,0.02264998763598546,2,2.0,64,64.0,,Adam,3.0,3.0,,COMPLETE
5,0.6632500290870667,2024-10-26 12:45:27.475698,2024-10-26 12:49:02.258403,0 days 00:03:34.782705,tanh,64.0,0.08627665911205512,128.0,,,3.0,3.0,3.0,0.00034193419782974766,3,1.0,16,64.0,64.0,SGD,2.0,2.0,2.0,COMPLETE
6,0.101583331823349,2024-10-26 12:47:44.994454,2024-10-26 12:56:44.536430,0 days 00:08:59.541976,tanh,64.0,0.432847547057672,256.0,128.0,,3.0,5.0,5.0,0.06685159824453774,3,2.0,128,64.0,32.0,RMSprop,2.0,3.0,2.0,COMPLETE
7,0.856083333492279,2024-10-26 12:48:36.966915,2024-10-26 12:55:46.946263,0 days 00:07:09.979348,relu,32.0,0.21574729930155778,256.0,,,3.0,3.0,,0.004647594610999517,2,1.0,64,64.0,,SGD,3.0,2.0,,COMPLETE
8,0.893666684627533,2024-10-26 12:49:02.367838,2024-10-26 12:51:43.875459,0 days 00:02:41.507621,relu,128.0,0.3401219434213055,256.0,,,3.0,,,0.07834060470997771,1,1.0,64,,,SGD,3.0,,,COMPLETE
9,0.101583331823349,2024-10-26 12:51:43.961263,2024-10-26 12:53:55.294557,0 days 00:02:11.333294,sigmoid,128.0,0.4084943667811909,128.0,,,5.0,3.0,3.0,0.004135256443451017,3,1.0,16,128.0,64.0,RMSprop,2.0,3.0,2.0,COMPLETE
10,0.8816666603088379,2024-10-26 12:55:46.993135,2024-10-26 13:00:53.691795,0 days 00:05:06.698660,tanh,128.0,0.30980938948584263,64.0,64.0,,3.0,,,0.031283147181711664,1,2.0,128,,,SGD,2.0,,,COMPLETE
11,0.8967499732971191,2024-10-26 12:56:44.612229,2024-10-26 13:01:23.893886,0 days 00:04:39.281657,relu,128.0,0.26460019277093333,128.0,64.0,,3.0,3.0,,0.000302732009638523,2,2.0,128,16.0,,RMSprop,2.0,2.0,,COMPLETE
12,0.8854166865348816,2024-10-26 13:00:09.906672,2024-10-26 13:01:37.384719,0 days 00:01:27.478047,relu,64.0,0.49782714057475486,64.0,,,5.0,,,0.00016518699703047335,1,1.0,32,,,RMSprop,3.0,,,COMPLETE
13,0.8978333473205566,2024-10-26 13:01:23.925123,2024-10-26 13:02:06.703534,0 days 00:00:42.778411,relu,32.0,0.4855124588004247,64.0,,,5.0,,,0.0015250930134979412,1,1.0,32,,,RMSprop,3.0,,,COMPLETE
14,0.9088333249092102,2024-10-26 13:01:37.400345,2024-10-26 13:02:23.365693,0 days 00:00:45.965348,relu,32.0,0.16831472609677323,256.0,,,5.0,5.0,,0.0011939388009557528,2,1.0,32,32.0,,RMSprop,3.0,2.0,,COMPLETE
15,0.9137499928474426,2024-10-26 13:02:23.381318,2024-10-26 13:02:54.865400,0 days 00:00:31.484082,relu,32.0,0.17211410555977263,256.0,,,5.0,,,0.0011285004576531252,1,1.0,32,,,RMSprop,3.0,,,COMPLETE
16,0.8879166841506958,2024-10-26 13:03:20.645441,2024-10-26 13:06:57.689581,0 days 00:03:37.044140,sigmoid,32.0,0.14531887039658747,256.0,,,5.0,,,0.000919124399508301,1,1.0,32,,,RMSprop,3.0,,,COMPLETE
17,0.8839166760444641,2024-10-26 13:03:20.676691,2024-10-26 13:06:58.173951,0 days 00:03:37.497260,sigmoid,32.0,0.15330915327601546,256.0,,,5.0,,,0.0008564762985421015,1,1.0,32,,,RMSprop,3.0,,,PRUNED
18,0.8849166631698608,2024-10-26 13:03:20.676691,2024-10-26 13:06:57.877081,0 days 00:03:37.200390,sigmoid,32.0,0.16146404419580174,256.0,,,5.0,,,0.0009465601585416137,1,1.0,32,,,RMSprop,3.0,,,COMPLETE
19,0.8758333325386047,2024-10-26 13:03:20.707940,2024-10-26 13:06:58.048951,0 days 00:03:37.341011,sigmoid,32.0,0.14935516443701097,256.0,,,5.0,,,0.0008836693854696846,1,1.0,32,,,RMSprop,3.0,,,COMPLETE
20,0.8809999823570251,2024-10-26 13:06:57.720826,2024-10-26 13:08:31.550907,0 days 00:01:33.830081,relu,64.0,0.20036824173632015,256.0,,,5.0,,,0.00011201586077066888,1,1.0,32,,,RMSprop,3.0,,,PRUNED
21,0.8949999809265137,2024-10-26 13:06:57.908326,2024-10-26 13:09:24.548391,0 days 00:02:26.640065,relu,64.0,0.22301691495332066,256.0,,,5.0,,,0.00010133346783185729,1,1.0,32,,,Adam,3.0,,,COMPLETE
22,0.8960833549499512,2024-10-26 13:06:58.080208,2024-10-26 13:09:24.439032,0 days 00:02:26.358824,relu,64.0,0.3492676301655367,256.0,,,5.0,,,0.00011519824256956857,1,1.0,32,,,Adam,3.0,,,COMPLETE
23,0.9043333530426025,2024-10-26 13:06:58.205207,2024-10-26 13:09:24.955038,0 days 00:02:26.749831,relu,64.0,0.0024278696605550265,256.0,,,5.0,,,0.00013573385831996892,1,1.0,32,,,Adam,3.0,,,COMPLETE
24,0.9099166393280029,2024-10-26 13:08:31.702252,2024-10-26 13:10:56.053282,0 days 00:02:24.351030,relu,32.0,0.3543917178587272,256.0,,,5.0,5.0,,0.0020723439229884412,2,1.0,32,32.0,,Adam,3.0,2.0,,COMPLETE
25,0.8911666870117188,2024-10-26 13:09:24.485890,2024-10-26 13:11:10.477823,0 days 00:01:45.991933,relu,32.0,0.22188131826355884,256.0,,,5.0,5.0,,0.00206424539187899,2,1.0,32,32.0,,RMSprop,3.0,2.0,,COMPLETE
26,0.8974166512489319,2024-10-26 13:09:24.720268,2024-10-26 13:11:10.509071,0 days 00:01:45.788803,relu,32.0,0.1024769537523215,256.0,,,5.0,5.0,,0.002232442008936231,2,1.0,32,32.0,,RMSprop,3.0,2.0,,COMPLETE
27,0.9014166593551636,2024-10-26 13:09:24.986290,2024-10-26 13:11:10.868203,0 days 00:01:45.881913,relu,32.0,0.11751160556957085,256.0,,,5.0,5.0,,0.0019803343317833185,2,1.0,32,32.0,,RMSprop,3.0,2.0,,COMPLETE
