number,value,datetime_start,datetime_complete,duration,params_activation_0,params_activation_1,params_activation_2,params_batch_size,params_layer_size_0,params_layer_size_1,params_layer_size_2,params_lr,params_num_layers,params_optimizer,state
0,0.9280833333333334,2024-10-26 09:06:50.444934,2024-10-26 09:10:27.817575,0 days 00:03:37.372641,leaky_relu,gelu,relu,128,32,32.0,256.0,0.0017777713120249174,3,Adam,COMPLETE
1,0.8565,2024-10-26 09:10:27.849171,2024-10-26 09:14:03.870207,0 days 00:03:36.021036,leaky_relu,silu,tanh,128,16,64.0,128.0,2.2270001438132852e-05,3,RMSprop,COMPLETE
2,0.9001666666666667,2024-10-26 09:14:03.884601,2024-10-26 09:17:42.078555,0 days 00:03:38.193954,leaky_relu,gelu,sigmoid,64,32,512.0,64.0,0.0013888144342063661,3,SGD,COMPLETE
3,0.09058333333333334,2024-10-26 09:17:42.091372,2024-10-26 09:21:23.680864,0 days 00:03:41.589492,gelu,relu,tanh,64,512,512.0,16.0,0.008521545100706605,3,RMSprop,COMPLETE
4,0.9053333333333333,2024-10-26 09:21:23.697584,2024-10-26 09:25:00.670021,0 days 00:03:36.972437,relu,gelu,silu,128,32,128.0,64.0,0.003467544618788291,3,SGD,COMPLETE
5,0.571,2024-10-26 09:25:00.701167,2024-10-26 09:25:22.506571,0 days 00:00:21.805404,silu,tanh,,64,32,16.0,,0.04517678317669675,2,RMSprop,PRUNED
6,0.82825,2024-10-26 09:25:22.523302,2024-10-26 09:26:06.634818,0 days 00:00:44.111516,tanh,sigmoid,,32,16,16.0,,0.002302072542351506,2,Adam,PRUNED
7,0.9070833333333334,2024-10-26 09:26:06.653581,2024-10-26 09:29:49.913635,0 days 00:03:43.260054,gelu,tanh,sigmoid,32,512,128.0,32.0,0.005028058855843962,3,RMSprop,COMPLETE
8,0.953,2024-10-26 09:29:49.944793,2024-10-26 09:33:32.357861,0 days 00:03:42.413068,relu,gelu,,32,512,32.0,,2.9327686920547257e-05,2,Adam,COMPLETE
9,0.9418333333333333,2024-10-26 09:33:32.372710,2024-10-26 09:37:08.210685,0 days 00:03:35.837975,tanh,,,128,128,,,0.0010143107142989293,1,RMSprop,COMPLETE
10,0.9506666666666667,2024-10-26 09:37:08.226765,2024-10-26 09:40:49.094872,0 days 00:03:40.868107,relu,,,32,256,,,3.9941048704282194e-05,1,Adam,COMPLETE
11,0.9501666666666667,2024-10-26 09:40:49.111922,2024-10-26 09:44:29.806173,0 days 00:03:40.694251,relu,,,32,256,,,3.712617960069237e-05,1,Adam,COMPLETE
12,0.952,2024-10-26 09:44:29.823235,2024-10-26 09:48:10.640708,0 days 00:03:40.817473,relu,,,32,256,,,0.00012389255451355607,1,Adam,COMPLETE
